"timesstamp,brightness,motion_pixels,mode,fps"
2026-01-10 06: 25: 15,100.48,2294,DAY,7.77
2026-01-10 06: 25: 15,100.8,2222,DAY,7.83
2026-01-10 06: 25: 15,100.75,363,DAY,12.1
2026-01-10 06: 25: 15,108.73,13435,DAY,10.24
2026-01-10 06: 25: 16,108.98,4243,DAY,10.46
2026-01-10 06: 25: 16,109.24,5003,DAY,9.12
2026-01-10 06: 25: 16,109.38,4633,DAY,13.58
2026-01-10 06: 25: 16,109.77,1601,DAY,7.37
2026-01-10 06: 25: 16,110.06,6099,DAY,11.55
2026-01-10 06: 25: 16,109.98,10385,DAY,10.68
2026-01-10 06: 25: 16,109.42,15082,DAY,9.47
2026-01-10 06: 25: 16,108.35,17097,DAY,9.47
2026-01-10 06: 25: 16,107.55,17314,DAY,8.5
2026-01-10 06: 25: 16,106.98,15753,DAY,10.68
2026-01-10 06: 25: 17,106.55,12226,DAY,7.23
2026-01-10 06: 25: 17,96.11,30443,DAY,11.28
2026-01-10 06: 25: 17,95.96,4044,DAY,10.46
2026-01-10 06: 25: 17,95.96,0,DAY,12.04
2026-01-10 06: 25: 17,95.85,5947,DAY,6.41
2026-01-10 06: 25: 17,95.61,3181,DAY,10.14
2026-01-10 06: 25: 17,95.43,2339,DAY,10.04
2026-01-10 06: 25: 17,95.31,2754,DAY,12.88
2026-01-10 06: 25: 17,95.16,4325,DAY,12.19
2026-01-10 06: 25: 18,95.16,0,DAY,7.46
2026-01-10 06: 25: 18,95.38,11664,DAY,12.34
2026-01-10 06: 25: 18,95.41,7754,DAY,13.6
2026-01-10 06: 25: 18,95.41,0,DAY,9.29
2026-01-10 06: 25: 18,85.57,29457,DAY,13.77
2026-01-10 06: 25: 18,85.57,0,DAY,8.88
2026-01-10 06: 25: 18,82.24,5603,DAY,13.23
2026-01-10 06: 25: 18,81.87,3582,DAY,11.16
2026-01-10 06: 25: 18,82.35,1680,DAY,8.15
2026-01-10 06: 25: 18,82.4,3495,DAY,12.4
2026-01-10 06: 25: 18,82.4,0,DAY,8.16
2026-01-10 06: 25: 19,83.18,2032,DAY,10.35
2026-01-10 06: 25: 19,83.89,1961,DAY,7.54
2026-01-10 06: 25: 19,84.11,905,DAY,11.82
2026-01-10 06: 25: 19,84.5,25,DAY,10.35
2026-01-10 06: 25: 19,84.55,0,DAY,8.49
2026-01-10 06: 25: 19,93.98,11971,DAY,8.09
2026-01-10 06: 25: 19,93.28,119,DAY,10.25
2026-01-10 06: 25: 19,93.28,0,DAY,13.97
2026-01-10 06: 25: 19,93.64,450,DAY,11.04
2026-01-10 06: 25: 19,93.3,55,DAY,12.4
2026-01-10 06: 25: 20,93.41,0,DAY,14.16
2026-01-10 06: 25: 20,93.41,0,DAY,12.82
2026-01-10 06: 25: 20,93.29,240,DAY,9.65
2026-01-10 06: 25: 20,93.06,167,DAY,12.89
2026-01-10 06: 25: 20,93.06,0,DAY,10.46
2026-01-10 06: 25: 20,93.06,0,DAY,10.63
2026-01-10 06: 25: 20,92.89,0,DAY,9.56
2026-01-10 06: 25: 20,92.99,87,DAY,9.84
2026-01-10 06: 25: 20,92.96,0,DAY,12.56
2026-01-10 06: 25: 20,92.77,0,DAY,7.66
2026-01-10 06: 25: 21,104.67,36636,DAY,7.48
2026-01-10 06: 25: 21,105.33,4211,DAY,12.72
2026-01-10 06: 25: 21,105.33,0,DAY,13.77
2026-01-10 06: 25: 21,105.3,1446,DAY,11.16
2026-01-10 06: 25: 21,105.72,1369,DAY,7.02
2026-01-10 06: 25: 21,106.13,2944,DAY,12.56
2026-01-10 06: 25: 21,106.29,483,DAY,9.56
2026-01-10 06: 25: 21,106.29,0,DAY,13.41
2026-01-10 06: 25: 21,106.25,153,DAY,11.68
2026-01-10 06: 25: 21,106.06,47,DAY,10.99
2026-01-10 06: 25: 21,105.95,46,DAY,11.28
2026-01-10 06: 25: 21,105.74,464,DAY,11.16
2026-01-10 06: 25: 22,106.35,379,DAY,5.58
2026-01-10 06: 25: 22,106.35,0,DAY,4.32
2026-01-10 06: 25: 22,106.18,1203,DAY,11.82
2026-01-10 06: 25: 22,106.32,4,DAY,8.57
2026-01-10 06: 25: 22,106.33,136,DAY,12.11
2026-01-10 06: 25: 22,106.29,859,DAY,15.47
